ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
218720_x_at	SEZ6L2	 	 	 	 	-1.447	3.20E-02
233337_s_at	SEZ6L2	 	 	 	 	-1.338	1.62E-02
208313_s_at	SF1	 	 	1.183	3.17E-02	 	 
201356_at	SF3A1	 	 	 	 	1.114	3.96E-02
203818_s_at	SF3A3	1.288	1.82E-03	1.228	4.67E-02	 	 
211185_s_at	SF3B1	-1.036	3.91E-02	-1.287	1.90E-02	 	 
214305_s_at	SF3B1	-1.183	4.48E-02	 	 	 	 
223416_at	SF3B14	1.102	4.91E-02	 	 	 	 
200687_s_at	SF3B3	 	 	1.246	2.71E-02	1.301	3.70E-02
209044_x_at	SF3B4	1.096	2.15E-02	 	 	 	 
221263_s_at	SF3B5	 	 	1.19	6.41E-03	1.31	1.92E-02
36545_s_at	SFI1	-1.188	4.99E-02	 	 	 	 
215699_x_at	SFI1	 	 	-1.435	2.91E-02	 	 
213370_s_at	SFMBT1	 	 	 	 	1.3	1.74E-02
227210_at	SFMBT2	-1.265	3.54E-02	 	 	 	 
209260_at	SFN	1.133	3.91E-02	 	 	 	 
33323_r_at	SFN	1.094	1.62E-02	1.132	1.39E-02	1.222	7.70E-03
33322_i_at	SFN	 	 	1.198	3.38E-02	1.208	1.24E-02
201586_s_at	SFPQ	1.066	1.79E-02	1.424	1.78E-02	 	 
214016_s_at	SFPQ	1.191	3.51E-02	 	 	 	 
201585_s_at	SFPQ	 	 	1.429	3.35E-03	 	 
236027_at	SFR1	1.409	2.39E-02	 	 	1.314	2.91E-02
238794_at	SFR1	1.43	6.22E-03	1.577	1.84E-02	1.474	3.96E-02
228413_s_at	SFRP1	1.304	2.69E-02	 	 	 	 
223121_s_at	SFRP2	 	 	 	 	1.227	2.17E-02
202774_s_at	SFSWAP	1.113	4.92E-02	1.171	9.87E-04	 	 
202773_s_at	SFSWAP	 	 	1.285	4.02E-02	 	 
240078_at	SFSWAP	 	 	1.167	3.06E-02	 	 
225850_at	SFT2D1	 	 	1.155	2.33E-03	1.192	1.00E-02
214838_at	SFT2D2	1.402	1.47E-02	 	 	 	 
213936_x_at	SFTPB	-1.139	2.60E-02	 	 	 	 
37004_at	SFTPB	 	 	-1.247	4.70E-02	 	 
211735_x_at	SFTPC	-1.393	6.74E-03	-1.208	3.42E-02	 	 
38691_s_at	SFTPC	 	 	-1.343	1.51E-02	 	 
232055_at	SFXN1	-1.771	5.63E-03	 	 	-1.834	2.40E-02
218392_x_at	SFXN1	 	 	-1.288	1.05E-02	-1.49	1.51E-03
230069_at	SFXN1	 	 	 	 	-1.923	1.60E-02
227560_at	SFXN2	1.428	4.59E-03	1.489	2.17E-02	1.334	1.90E-03
220974_x_at	SFXN3	1.212	1.17E-02	1.286	1.12E-02	1.438	6.67E-03
217226_s_at	SFXN3	 	 	 	 	1.518	7.41E-03
225143_at	SFXN4	1.306	7.43E-03	1.522	7.57E-03	1.463	1.27E-02
229236_s_at	SFXN4	 	 	1.551	8.06E-03	 	 
205120_s_at	SGCB	 	 	1.163	2.57E-02	1.199	4.27E-02
226112_at	SGCB	 	 	 	 	-1.1	1.39E-02
210329_s_at	SGCD	1.266	3.69E-02	 	 	 	 
204688_at	SGCE	 	 	1.653	8.04E-03	 	 
207302_at	SGCG	-2.108	4.94E-06	-2.515	2.46E-04	-3.008	1.76E-03
201739_at	SGK1	3.198	1.42E-03	2.677	1.17E-02	4.145	2.73E-02
235085_at	SGK223	1.437	1.50E-02	2.155	2.00E-02	2.323	2.09E-03
212989_at	SGMS1	 	 	-1.693	1.99E-02	-2.002	5.70E-03
227038_at	SGMS2	 	 	-1.211	1.75E-02	-1.603	2.13E-02
235425_at	SGOL2	 	 	1.93	3.94E-02	 	 
212322_at	SGPL1	-1.141	1.46E-02	 	 	 	 
212321_at	SGPL1	 	 	 	 	-1.246	2.57E-02
223391_at	SGPP1	 	 	-1.157	3.94E-02	-1.325	1.21E-02
221268_s_at	SGPP1	 	 	 	 	-1.245	1.96E-02
204293_at	SGSH	-1.164	4.89E-02	 	 	-1.573	2.13E-02
35626_at	SGSH	-1.213	1.90E-02	 	 	-1.376	2.17E-02
230287_at	SGSM1	-2.858	7.96E-03	-1.938	1.66E-02	-1.958	4.60E-02
242921_at	SGSM1	1.445	4.85E-02	 	 	 	 
212319_at	SGSM2	-1.252	1.80E-02	1.257	4.79E-02	 	 
36129_at	SGSM2	-1.296	4.63E-04	-1.584	2.31E-03	-1.614	1.61E-03
214779_s_at	SGSM3	-1.195	2.14E-02	 	 	 	 
201396_s_at	SGTA	1.183	1.15E-02	 	 	 	 
40149_at	SH2B1	 	 	1.323	3.24E-02	 	 
1553177_at	SH2D1B	 	 	1.417	1.02E-02	 	 
219513_s_at	SH2D3A	-1.393	3.83E-03	 	 	 	 
230973_at	SH2D5	 	 	 	 	1.482	2.95E-02
201311_s_at	SH3BGRL	-1.348	2.77E-02	-1.248	4.29E-03	-1.558	3.80E-03
201312_s_at	SH3BGRL	 	 	-1.417	5.64E-04	-1.901	2.19E-02
225354_s_at	SH3BGRL2	-1.313	7.67E-03	-1.255	3.45E-02	 	 
213633_at	SH3BP1	 	 	1.247	4.12E-02	 	 
217257_at	SH3BP2	 	 	-1.227	2.70E-02	 	 
201810_s_at	SH3BP5	1.212	3.00E-02	 	 	 	 
227591_at	SH3BP5-AS1	 	 	 	 	-1.739	2.37E-02
205636_at	SH3GL3	 	 	 	 	-1.334	3.93E-02
224432_at	SH3GLB2	 	 	 	 	-1.4	2.40E-02
1553588_at	SH3KBP1	 	 	-1.099	8.18E-03	-1.048	4.11E-02
225590_at	SH3RF1	-1.279	1.67E-02	 	 	 	 
225589_at	SH3RF1	 	 	-1.834	1.28E-02	-1.622	1.36E-02
233512_at	SH3RF3-AS1	 	 	 	 	-1.073	2.47E-02
204019_s_at	SH3YL1	-1.275	1.94E-04	-1.54	1.46E-02	-2.038	3.59E-06
220563_s_at	SHANK1	 	 	1.552	3.55E-02	 	 
213307_at	SHANK2	 	 	-1.636	4.95E-02	 	 
213308_at	SHANK2	 	 	-1.465	2.60E-03	-2.066	8.00E-04
204657_s_at	SHB	1.174	3.92E-02	1.281	3.02E-02	 	 
243595_at	SHB	 	 	 	 	1.42	1.31E-02
214853_s_at	SHC1	-1.231	3.88E-02	 	 	 	 
213464_at	SHC2	 	 	 	 	-1.35	2.98E-03
229824_at	SHC3	-1.486	2.68E-03	 	 	 	 
206330_s_at	SHC3	 	 	 	 	1.599	3.15E-02
235238_at	SHC4	1.846	1.30E-02	 	 	 	 
230538_at	SHC4	 	 	2.078	4.11E-02	2.356	3.09E-02
229910_at	SHE	1.282	1.99E-02	 	 	 	 
202276_at	SHFM1	1.108	8.03E-03	 	 	1.251	4.56E-02
236263_at	SHH	-1.387	5.98E-03	 	 	 	 
230493_at	SHISA2	-1.546	7.39E-05	 	 	 	 
222986_s_at	SHISA5	-1.215	4.16E-02	 	 	 	 
224954_at	SHMT1	-1.152	4.01E-02	 	 	 	 
231701_s_at	SHMT1	-1.67	1.03E-02	 	 	 	 
209980_s_at	SHMT1	 	 	-1.194	3.50E-02	 	 
214096_s_at	SHMT2	 	 	1.136	2.29E-02	 	 
214095_at	SHMT2	 	 	 	 	1.546	3.91E-02
202777_at	SHOC2	 	 	1.235	4.58E-02	1.145	1.94E-02
217278_x_at	SHOX2	-1.377	4.26E-02	 	 	 	 
219083_at	SHQ1	1.365	2.98E-03	1.407	4.72E-02	1.424	7.25E-03
63009_at	SHQ1	1.262	3.79E-02	1.487	3.80E-05	1.395	3.87E-02
235140_at	SHROOM1	 	 	1.066	4.97E-02	1.224	9.08E-03
239435_x_at	SHROOM1	 	 	1.358	3.11E-03	 	 
225548_at	SHROOM3	-1.244	2.60E-02	 	 	-1.377	1.07E-02
228400_at	SHROOM3	-1.346	6.73E-03	-1.701	3.09E-02	-1.803	2.16E-02
224391_s_at	SIAE	-1.204	1.27E-02	 	 	 	 
223744_s_at	SIAE	 	 	-1.533	7.92E-03	 	 
202981_x_at	SIAH1	-1.187	2.36E-04	 	 	 	 
209339_at	SIAH2	2.202	1.34E-03	2.453	4.38E-05	2.352	1.13E-03
1560676_at	SIAH3	 	 	-1.198	1.50E-02	 	 
219734_at	SIDT1	-1.542	2.90E-03	-1.377	2.35E-02	-1.359	9.79E-03
56256_at	SIDT2	-1.128	3.98E-02	-1.222	2.29E-02	-1.331	3.50E-03
218765_at	SIDT2	 	 	-1.455	3.00E-02	 	 
214935_at	SIGLEC11	 	 	1.865	4.56E-02	2.34	1.32E-02
215856_at	SIGLEC15	 	 	1.306	3.68E-02	 	 
220000_at	SIGLEC5	-1.83	1.19E-02	 	 	 	 
208253_at	SIGLEC8	 	 	 	 	1.613	1.97E-02
1553887_at	SIGLECL1	 	 	 	 	1.289	3.05E-02
201692_at	SIGMAR1	1.324	2.96E-02	 	 	 	 
214484_s_at	SIGMAR1	1.55	1.62E-03	 	 	 	 
208078_s_at	SIK1	 	 	 	 	-1.343	1.22E-02
204155_s_at	SIK3	 	 	 	 	1.605	4.34E-02
221705_s_at	SIKE1	 	 	1.666	2.34E-02	 	 
218436_at	SIL1	 	 	-1.183	2.57E-02	-1.525	1.58E-02
208157_at	SIM2	 	 	 	 	1.356	1.56E-03
228805_at	SIMC1	1.518	1.03E-02	 	 	 	 
202255_s_at	SIPA1L1	-1.227	6.23E-03	 	 	 	 
202896_s_at	SIRPA	 	 	1.474	4.57E-02	1.492	4.15E-02
218878_s_at	SIRT1	 	 	1.431	6.56E-03	1.366	4.02E-02
220605_s_at	SIRT2	 	 	-1.548	5.72E-03	 	 
222081_at	SIRT5	-1.222	1.42E-02	 	 	 	 
203489_at	SIVA1	 	 	1.165	4.83E-02	 	 
222030_at	SIVA1	 	 	 	 	1.115	3.88E-02
228347_at	SIX1	 	 	-1.353	8.79E-03	 	 
231797_at	SIX4	-1.208	2.05E-02	 	 	 	 
229009_at	SIX5	-1.2	1.92E-02	 	 	 	 
217661_x_at	SIX5	 	 	1.729	1.28E-02	1.451	2.55E-02
225686_at	SKA2	-1.157	3.23E-02	 	 	-1.161	4.92E-03
225684_at	SKA2	 	 	 	 	-1.171	4.76E-02
227165_at	SKA3	1.523	1.18E-02	 	 	 	 
204362_at	SKAP2	1.276	4.51E-02	 	 	 	 
225227_at	SKIL	 	 	-1.589	5.82E-03	-1.746	4.39E-02
217591_at	SKIL	 	 	 	 	-1.403	1.13E-02
203727_at	SKIV2L	 	 	 	 	1.123	2.80E-02
212896_at	SKIV2L2	1.287	1.45E-02	1.488	1.70E-02	1.38	8.67E-03
227447_at	SKIV2L2	1.2	2.08E-02	1.273	2.83E-02	 	 
200719_at	SKP1	 	 	1.24	2.60E-02	 	 
200718_s_at	SKP1	 	 	 	 	-1.176	1.29E-02
203625_x_at	SKP2	1.535	3.50E-04	 	 	1.616	2.86E-02
203626_s_at	SKP2	1.458	1.60E-02	 	 	 	 
210567_s_at	SKP2	1.572	1.25E-02	 	 	1.981	5.03E-03
203761_at	SLA	 	 	 	 	-2.247	4.86E-03
224854_s_at	SLAIN2	1.281	9.95E-03	 	 	 	 
233230_s_at	SLAIN2	1.595	3.35E-02	 	 	 	 
224844_at	SLAIN2	 	 	1.248	3.34E-03	 	 
224845_s_at	SLAIN2	 	 	1.156	2.43E-02	1.224	3.59E-02
1552497_a_at	SLAMF6	 	 	-1.854	9.76E-03	 	 
222838_at	SLAMF7	-1.278	3.11E-02	 	 	 	 
234306_s_at	SLAMF7	-1.403	1.80E-02	 	 	 	 
206052_s_at	SLBP	1.101	2.43E-02	 	 	 	 
204928_s_at	SLC10A3	1.368	1.91E-02	 	 	1.318	2.04E-02
210422_x_at	SLC11A1	 	 	-1.302	3.47E-02	 	 
203124_s_at	SLC11A2	 	 	-1.332	2.81E-02	 	 
203125_x_at	SLC11A2	 	 	-1.286	3.59E-02	-1.201	1.94E-02
203123_s_at	SLC11A2	 	 	 	 	-1.311	1.13E-02
204404_at	SLC12A2	-1.618	2.03E-04	-1.551	3.87E-04	-1.567	2.61E-03
225835_at	SLC12A2	 	 	-1.754	3.95E-03	-2.089	5.51E-04
210040_at	SLC12A5	 	 	 	 	-2.612	1.14E-03
220740_s_at	SLC12A6	-1.848	3.19E-03	 	 	 	 
218066_at	SLC12A7	 	 	-1.342	4.32E-02	-1.348	2.64E-02
223994_s_at	SLC12A9	1.621	4.92E-03	 	 	 	 
211349_at	SLC15A1	 	 	1.342	4.86E-02	 	 
225057_at	SLC15A4	1.48	5.85E-03	 	 	 	 
225043_at	SLC15A4	 	 	1.236	4.40E-02	 	 
202236_s_at	SLC16A1	1.532	5.37E-04	1.547	1.11E-02	2.183	1.46E-03
209900_s_at	SLC16A1	2.088	4.10E-02	1.954	2.19E-02	2.538	1.98E-04
1557918_s_at	SLC16A1	 	 	1.678	3.31E-02	2.234	7.46E-04
204462_s_at	SLC16A2	 	 	-1.415	4.92E-02	-1.556	2.83E-02
217685_at	SLC16A3	 	 	2.119	4.78E-02	 	 
205234_at	SLC16A4	-1.746	8.26E-03	 	 	 	 
207038_at	SLC16A6	1.524	3.01E-04	1.625	2.02E-04	1.332	4.77E-02
230748_at	SLC16A6	1.595	4.48E-04	1.483	7.14E-04	 	 
230003_at	SLC16A7	2.842	4.00E-02	 	 	 	 
241866_at	SLC16A7	 	 	1.897	4.21E-02	 	 
207057_at	SLC16A7	 	 	 	 	-1.526	3.32E-03
210807_s_at	SLC16A7	 	 	 	 	-1.809	4.68E-02
223441_at	SLC17A5	-1.47	3.98E-02	-1.453	4.86E-03	 	 
204230_s_at	SLC17A7	1.45	4.79E-02	 	 	 	 
204229_at	SLC17A7	 	 	-1.663	1.90E-02	 	 
1553328_a_at	SLC18A2	-1.35	1.89E-02	 	 	 	 
1555952_at	SLC19A1	1.525	1.71E-02	1.491	7.67E-03	 	 
211576_s_at	SLC19A1	1.304	1.28E-03	 	 	 	 
1555953_at	SLC19A1	 	 	 	 	1.405	4.16E-02
209776_s_at	SLC19A1	 	 	 	 	1.783	3.84E-02
209681_at	SLC19A2	1.692	2.45E-03	1.817	1.84E-03	1.584	7.54E-04
213664_at	SLC1A1	1.907	1.70E-02	3.423	4.14E-04	2.818	8.15E-04
206396_at	SLC1A1	 	 	 	 	2.289	3.04E-02
225491_at	SLC1A2	 	 	 	 	-1.533	1.30E-03
212810_s_at	SLC1A4	1.27	2.75E-02	1.603	1.59E-02	1.584	3.31E-02
212811_x_at	SLC1A4	1.13	3.77E-02	1.272	1.07E-02	1.42	3.29E-03
244377_at	SLC1A4	1.343	3.91E-02	 	 	 	 
209610_s_at	SLC1A4	 	 	1.379	1.70E-02	1.228	2.37E-02
208916_at	SLC1A5	1.164	4.04E-02	 	 	 	 
206882_at	SLC1A6	 	 	1.853	3.61E-02	 	 
201920_at	SLC20A1	-1.077	3.83E-02	-1.133	3.31E-03	 	 
230494_at	SLC20A1	 	 	-1.813	7.25E-03	 	 
202744_at	SLC20A2	 	 	-1.964	2.78E-02	-2.556	3.05E-03
220100_at	SLC22A11	-1.405	1.73E-02	 	 	 	 
223194_s_at	SLC22A23	-1.397	4.81E-02	-1.475	9.91E-03	-1.598	2.70E-04
1553923_at	SLC22A24	 	 	 	 	1.534	2.60E-02
205896_at	SLC22A4	-1.416	1.38E-02	-1.44	1.36E-02	-1.692	4.88E-02
205074_at	SLC22A5	1.489	4.13E-03	1.273	2.87E-02	 	 
239615_at	SLC22A5	2.109	7.84E-03	 	 	1.849	1.09E-02
1554692_at	SLC23A2	 	 	 	 	1.236	1.88E-02
211842_s_at	SLC24A1	1.196	1.70E-03	 	 	 	 
206081_at	SLC24A1	 	 	 	 	-1.227	1.50E-02
229110_at	SLC24A2	 	 	1.165	3.10E-03	1.367	1.27E-02
219090_at	SLC24A3	 	 	-1.493	1.16E-02	-1.864	3.51E-03
57588_at	SLC24A3	 	 	-1.493	1.44E-02	-2.189	1.54E-03
210010_s_at	SLC25A1	1.361	6.70E-03	1.227	1.51E-02	 	 
209003_at	SLC25A11	1.096	4.63E-02	1.153	2.53E-02	 	 
203339_at	SLC25A12	 	 	 	 	1.673	2.71E-02
203775_at	SLC25A13	1.203	4.57E-03	 	 	 	 
211855_s_at	SLC25A14	 	 	 	 	1.136	4.47E-02
218653_at	SLC25A15	1.462	1.58E-02	1.431	2.01E-03	1.526	2.85E-04
222705_s_at	SLC25A15	 	 	1.806	1.28E-02	1.529	2.68E-02
209910_at	SLC25A16	 	 	-1.672	2.55E-02	 	 
235747_at	SLC25A16	 	 	-1.749	7.80E-03	-2.072	2.51E-04
210686_x_at	SLC25A16	 	 	 	 	-1.204	2.46E-02
214140_at	SLC25A16	 	 	 	 	-1.532	4.89E-03
1569793_at	SLC25A18	 	 	 	 	1.37	1.78E-02
223605_at	SLC25A18	 	 	 	 	2.444	1.97E-03
223222_at	SLC25A19	1.504	1.46E-02	1.463	2.88E-02	1.674	1.70E-02
203658_at	SLC25A20	-1.321	1.62E-02	 	 	-1.299	2.60E-03
226010_at	SLC25A23	 	 	-1.615	3.92E-03	 	 
204342_at	SLC25A24	1.348	5.83E-03	 	 	 	 
225212_at	SLC25A25	1.831	3.93E-03	1.619	3.55E-02	1.189	3.72E-02
225862_at	SLC25A26	1.138	2.14E-02	 	 	 	 
223192_at	SLC25A28	1.108	5.96E-03	 	 	1.287	4.99E-02
221432_s_at	SLC25A28	 	 	1.382	2.30E-02	 	 
225305_at	SLC25A29	-1.192	3.53E-02	 	 	 	 
226782_at	SLC25A30	-1.279	4.15E-02	 	 	-2.132	1.61E-02
221020_s_at	SLC25A32	1.385	8.77E-03	1.576	3.83E-02	1.335	7.02E-03
223296_at	SLC25A33	1.445	7.21E-03	1.394	6.45E-03	1.412	7.24E-03
201918_at	SLC25A36	-1.089	4.40E-02	 	 	 	 
201919_at	SLC25A36	 	 	1.106	2.45E-02	 	 
222529_at	SLC25A37	1.332	2.11E-02	 	 	 	 
231274_s_at	SLC25A37	 	 	1.557	1.95E-02	1.409	1.16E-03
242335_at	SLC25A37	 	 	 	 	-1.505	4.14E-02
217961_at	SLC25A38	 	 	-1.069	4.65E-02	 	 
202825_at	SLC25A4	 	 	 	 	1.326	2.97E-02
227012_at	SLC25A40	1.162	3.59E-02	 	 	 	 
32091_at	SLC25A44	 	 	1.093	1.75E-02	 	 
226831_at	SLC25A46	 	 	 	 	-1.452	1.37E-02
200657_at	SLC25A5	 	 	 	 	1.11	1.55E-02
239125_at	SLC25A5-AS1	 	 	 	 	1.498	2.95E-02
232092_at	SLC25A51	1.33	3.94E-03	1.419	2.81E-02	 	 
205097_at	SLC26A2	2.875	1.02E-04	2.271	4.78E-03	2.535	2.22E-03
224959_at	SLC26A2	2.863	5.31E-05	2.523	1.92E-04	2.939	5.04E-05
224963_at	SLC26A2	2.441	1.58E-03	2.456	1.73E-04	2.065	9.49E-04
232551_at	SLC26A6	 	 	1.332	1.44E-02	 	 
239006_at	SLC26A7	 	 	1.123	1.11E-02	1.155	9.38E-03
242271_at	SLC26A9	 	 	 	 	1.396	3.41E-02
205768_s_at	SLC27A2	1.298	3.67E-02	 	 	 	 
225779_at	SLC27A4	1.227	1.94E-02	 	 	 	 
219733_s_at	SLC27A5	 	 	 	 	1.272	4.45E-02
201801_s_at	SLC29A1	1.537	2.72E-03	1.628	1.19E-02	1.36	3.53E-03
201802_at	SLC29A1	 	 	 	 	1.193	3.30E-02
204717_s_at	SLC29A2	1.061	2.73E-02	 	 	 	 
1553540_a_at	SLC29A2	 	 	1.439	4.12E-02	 	 
1560062_at	SLC29A2	 	 	 	 	1.772	4.37E-02
219344_at	SLC29A3	-1.179	4.53E-02	 	 	 	 
227281_at	SLC29A4	 	 	1.363	2.67E-02	 	 
201249_at	SLC2A1	2.923	2.50E-02	2.132	3.21E-02	 	 
201250_s_at	SLC2A1	1.493	5.21E-03	1.614	1.52E-02	1.91	3.37E-04
221024_s_at	SLC2A10	-1.819	1.89E-02	-1.543	9.37E-03	-1.491	9.48E-03
232167_at	SLC2A11	 	 	-1.721	1.48E-02	 	 
1552695_a_at	SLC2A13	1.17	2.78E-03	 	 	 	 
216236_s_at	SLC2A14	 	 	 	 	1.57	2.32E-02
202499_s_at	SLC2A3	 	 	1.386	4.82E-02	 	 
202497_x_at	SLC2A3	 	 	 	 	1.645	2.58E-02
220091_at	SLC2A6	 	 	-1.289	2.18E-02	 	 
218985_at	SLC2A8	1.24	4.48E-02	 	 	 	 
212907_at	SLC30A1	 	 	 	 	1.531	1.82E-02
207362_at	SLC30A4	-1.219	3.60E-02	 	 	 	 
238845_at	SLC30A4	-1.275	2.13E-02	 	 	 	 
220181_x_at	SLC30A5	 	 	-1.302	4.87E-02	-1.587	1.57E-02
243166_at	SLC30A5	 	 	-1.764	3.69E-02	 	 
1555334_s_at	SLC30A5	 	 	 	 	1.205	4.92E-02
226601_at	SLC30A7	1.541	1.08E-02	 	 	 	 
239596_at	SLC30A7	 	 	 	 	-1.524	1.14E-02
202614_at	SLC30A9	 	 	 	 	-1.327	6.91E-03
229500_at	SLC30A9	 	 	 	 	1.252	2.65E-02
203971_at	SLC31A1	 	 	1.379	5.01E-03	1.577	2.48E-02
204204_at	SLC31A2	 	 	-1.697	1.36E-02	-1.634	3.71E-02
203164_at	SLC33A1	1.156	2.26E-02	1.269	3.42E-02	1.289	9.32E-03
1554148_a_at	SLC33A1	 	 	 	 	1.303	3.60E-05
208177_at	SLC34A1	 	 	 	 	-1.229	2.43E-02
203306_s_at	SLC35A1	-1.327	1.95E-03	-1.514	8.13E-03	-1.534	9.08E-03
209326_at	SLC35A2	 	 	 	 	-1.179	1.24E-02
202433_at	SLC35B1	 	 	1.271	2.04E-02	1.319	2.03E-02
225881_at	SLC35B4	 	 	1.372	2.43E-02	 	 
225882_at	SLC35B4	 	 	 	 	1.68	2.81E-02
238418_at	SLC35B4	 	 	 	 	1.599	3.53E-02
222647_at	SLC35C1	-1.413	2.62E-02	-1.207	1.42E-02	-1.393	2.86E-02
209713_s_at	SLC35D1	1.185	1.42E-03	 	 	 	 
213083_at	SLC35D2	 	 	 	 	-1.427	1.32E-02
217122_s_at	SLC35E2	 	 	-1.18	3.40E-02	 	 
215169_at	SLC35E2	 	 	 	 	-1.401	1.62E-02
225872_at	SLC35F5	 	 	 	 	-1.858	7.64E-03
234978_at	SLC36A4	 	 	2.151	8.56E-03	1.996	9.50E-03
217289_s_at	SLC37A4	 	 	 	 	1.267	2.70E-02
218237_s_at	SLC38A1	 	 	-1.246	2.50E-02	 	 
224579_at	SLC38A1	 	 	-1.249	4.59E-03	-1.683	2.99E-02
224580_at	SLC38A1	 	 	 	 	-1.528	7.55E-03
238347_at	SLC38A10	 	 	-1.281	4.75E-02	 	 
1563226_at	SLC38A10	 	 	 	 	1.358	3.82E-02
230448_at	SLC38A10	 	 	 	 	1.347	1.43E-03
242942_at	SLC38A10	 	 	 	 	1.399	1.69E-02
218041_x_at	SLC38A2	 	 	1.353	2.53E-02	1.277	5.55E-03
220924_s_at	SLC38A2	 	 	1.323	3.22E-02	1.225	1.89E-02
243709_at	SLC38A9	 	 	-1.68	1.74E-02	 	 
225295_at	SLC39A10	 	 	1.392	8.93E-03	1.144	3.00E-02
1552295_a_at	SLC39A13	-1.254	3.27E-03	-1.322	3.61E-02	 	 
212110_at	SLC39A14	 	 	1.426	8.66E-03	1.362	2.37E-02
223917_s_at	SLC39A3	 	 	1.303	1.37E-03	 	 
219215_s_at	SLC39A4	1.306	3.91E-03	1.272	6.81E-03	1.199	2.86E-02
202088_at	SLC39A6	 	 	 	 	-1.171	8.70E-03
209266_s_at	SLC39A8	1.619	6.77E-03	1.722	2.49E-03	 	 
209267_s_at	SLC39A8	1.397	4.31E-02	1.366	4.31E-02	1.333	2.60E-02
219869_s_at	SLC39A8	1.235	1.42E-02	1.658	1.86E-03	1.43	1.29E-02
222935_x_at	SLC39A8	 	 	1.453	1.21E-02	 	 
228945_s_at	SLC39A8	 	 	 	 	1.614	3.18E-02
222445_at	SLC39A9	-1.253	1.72E-03	 	 	 	 
200924_s_at	SLC3A2	1.615	1.09E-03	2.358	6.90E-05	3	9.98E-06
233123_at	SLC40A1	 	 	 	 	-1.685	3.44E-02
223798_at	SLC41A2	-1.238	8.67E-03	 	 	 	 
235299_at	SLC41A2	 	 	-1.397	4.10E-02	 	 
219175_s_at	SLC41A3	 	 	 	 	-1.279	2.99E-02
228918_at	SLC43A2	 	 	-1.804	4.62E-02	 	 
224596_at	SLC44A1	 	 	-1.212	1.70E-02	-1.167	2.62E-02
224595_at	SLC44A1	 	 	 	 	-1.592	3.44E-03
228486_at	SLC44A1	 	 	 	 	-1.314	9.78E-03
224609_at	SLC44A2	-1.177	4.29E-02	 	 	 	 
225175_s_at	SLC44A2	 	 	 	 	-1.614	1.66E-03
228221_at	SLC44A3	 	 	 	 	-2.612	6.96E-03
225597_at	SLC45A4	 	 	1.456	4.93E-04	 	 
1552278_a_at	SLC46A1	1.552	1.04E-03	 	 	 	 
214719_at	SLC46A3	-1.319	2.86E-02	-1.709	1.79E-02	-1.804	4.00E-03
218417_s_at	SLC48A1	 	 	-1.263	2.26E-03	-1.351	8.61E-03
205592_at	SLC4A1	 	 	 	 	-2.009	5.51E-03
218682_s_at	SLC4A1AP	 	 	 	 	1.285	1.10E-02
202111_at	SLC4A2	 	 	 	 	-1.309	2.85E-02
207604_s_at	SLC4A7	1.664	1.17E-02	1.819	6.67E-03	1.362	2.21E-02
209884_s_at	SLC4A7	1.635	4.01E-02	 	 	 	 
210286_s_at	SLC4A7	1.827	3.32E-02	1.84	5.78E-03	 	 
207603_at	SLC4A7	 	 	 	 	1.287	3.43E-02
224053_s_at	SLC4A9	 	 	1.644	1.18E-03	 	 
218151_x_at	SLC52A2	1.24	2.36E-02	1.361	8.38E-03	1.611	5.30E-03
222155_s_at	SLC52A2	1.341	7.92E-03	1.191	1.39E-02	 	 
239707_at	SLC5A10	 	 	-2.053	2.33E-02	 	 
213164_at	SLC5A3	1.334	6.27E-04	 	 	 	 
1553313_s_at	SLC5A3	 	 	1.377	1.49E-02	 	 
211123_at	SLC5A5	 	 	-1.586	1.40E-02	 	 
204087_s_at	SLC5A6	-1.069	3.67E-02	 	 	 	 
220722_s_at	SLC5A7	 	 	-1.154	4.95E-02	 	 
207048_at	SLC6A11	 	 	1.311	3.49E-02	 	 
207184_at	SLC6A13	-1.7	4.35E-02	 	 	-1.272	3.25E-02
229925_at	SLC6A17	-1.386	2.22E-02	 	 	 	 
231021_at	SLC6A19	 	 	 	 	-1.229	1.15E-02
217213_at	SLC6A2	 	 	 	 	1.128	4.17E-02
217621_at	SLC6A2	 	 	 	 	1.248	2.73E-02
205920_at	SLC6A6	1.383	4.23E-02	2.133	3.12E-02	1.778	8.75E-03
205921_s_at	SLC6A6	1.702	2.13E-02	2.242	4.92E-03	2.229	4.04E-02
228754_at	SLC6A6	1.471	2.52E-03	1.49	3.98E-03	1.521	3.34E-03
211030_s_at	SLC6A6	 	 	1.766	6.22E-03	1.996	3.35E-02
208494_at	SLC6A7	 	 	-1.769	8.77E-03	-1.558	1.29E-03
226903_s_at	SLC6A8	 	 	1.405	3.58E-02	 	 
210854_x_at	SLC6A8	 	 	 	 	1.277	9.77E-03
226904_at	SLC6A8	 	 	 	 	1.474	4.95E-02
212295_s_at	SLC7A1	1.273	6.35E-03	1.36	3.82E-03	1.288	1.42E-02
206566_at	SLC7A1	 	 	1.895	3.01E-02	1.799	4.47E-02
212290_at	SLC7A1	 	 	1.564	1.84E-03	1.186	3.29E-02
209921_at	SLC7A11	1.595	2.78E-04	1.989	3.24E-03	1.9	5.10E-03
217678_at	SLC7A11	1.885	3.87E-02	 	 	 	 
