ID	Symbol	12hr Fold Change	12hr p-value	24hr Fold Change	24hr p-value	48hr Fold Change	48hr p-value
229222_at	ACSS3	-1.82	2.45E-02	-1.986	2.32E-02	-3.929	1.46E-03
219616_at	ACSS3	 	 	-1.505	1.18E-02	-1.849	1.97E-03
200801_x_at	ACTB	-1.078	1.61E-04	 	 	 	 
213867_x_at	ACTB	-1.089	2.73E-05	 	 	 	 
AFFX-HSAC07/X00351_5_at	ACTB	-1.047	4.22E-03	 	 	 	 
AFFX-HSAC07/X00351_3_at	ACTB	 	 	-1.067	3.74E-02	-1.066	3.01E-02
211970_x_at	ACTG1	-1.087	2.60E-02	-1.109	2.97E-02	 	 
211995_x_at	ACTG1	-1.071	1.55E-02	 	 	 	 
224585_x_at	ACTG1	-1.077	1.48E-02	 	 	1.047	5.80E-03
212363_x_at	ACTG1	 	 	 	 	-1.119	2.95E-02
241148_at	ACTG2	 	 	 	 	-1.507	6.78E-03
232619_at	ACTL10	 	 	 	 	1.511	9.97E-03
202666_s_at	ACTL6A	 	 	 	 	1.249	6.70E-03
208637_x_at	ACTN1	 	 	1.435	1.68E-02	1.267	1.90E-02
211160_x_at	ACTN1	 	 	 	 	1.385	3.06E-02
222230_s_at	ACTR10	 	 	 	 	1.135	1.20E-03
200720_s_at	ACTR1A	 	 	 	 	1.324	1.62E-02
1554390_s_at	ACTR2	 	 	1.305	2.31E-02	1.11	3.14E-02
1558015_s_at	ACTR2	 	 	1.265	1.23E-02	1.176	2.85E-02
200727_s_at	ACTR2	 	 	1.448	1.89E-02	1.151	4.79E-03
200729_s_at	ACTR2	 	 	 	 	-1.186	4.25E-02
200996_at	ACTR3	-1.207	3.59E-02	-1.222	2.64E-02	-1.171	7.64E-04
213101_s_at	ACTR3	-1.161	2.15E-02	-1.213	1.96E-02	-1.204	8.08E-03
213102_at	ACTR3	 	 	-1.704	2.52E-02	-1.231	3.32E-02
228603_at	ACTR3	 	 	 	 	-1.579	2.92E-02
1555487_a_at	ACTR3B	 	 	1.243	3.64E-02	1.241	2.59E-02
218868_at	ACTR3B	 	 	 	 	1.533	2.63E-03
222147_s_at	ACTR5	 	 	1.408	1.89E-02	1.698	2.06E-04
203935_at	ACVR1	 	 	-1.461	2.68E-02	 	 
208218_s_at	ACVR1B	 	 	1.708	3.95E-02	 	 
208223_s_at	ACVR1B	 	 	1.464	4.71E-02	 	 
205260_s_at	ACYP1	 	 	 	 	1.324	7.57E-03
1558381_a_at	AD000090.2	 	 	 	 	2.16	2.02E-02
204639_at	ADA	1.533	2.80E-03	1.944	2.59E-02	2.329	2.45E-03
216705_s_at	ADA	1.407	1.28E-02	2.273	1.15E-03	3.104	1.67E-02
239711_at	ADAL	 	 	-1.194	2.66E-02	 	 
214895_s_at	ADAM10	-1.232	2.06E-02	 	 	 	 
202603_at	ADAM10	 	 	 	 	-1.39	2.27E-02
207880_at	ADAM11	-1.227	1.71E-02	 	 	 	 
226777_at	ADAM12	 	 	-1.17	1.43E-02	 	 
213790_at	ADAM12	 	 	 	 	1.153	1.81E-02
213532_at	ADAM17	 	 	-1.13	4.08E-02	 	 
228925_at	ADAM1A	1.954	3.19E-02	 	 	 	 
208227_x_at	ADAM22	 	 	-1.434	1.82E-02	 	 
206616_s_at	ADAM22	 	 	 	 	1.432	4.36E-02
208269_s_at	ADAM28	1.4	1.94E-02	1.33	5.36E-03	 	 
241446_at	ADAM28	 	 	1.549	4.48E-02	 	 
202381_at	ADAM9	 	 	-1.106	1.20E-02	-1.266	3.34E-02
1553179_at	ADAMTS19	-1.606	2.88E-03	-1.752	4.91E-04	-2.07	1.79E-03
1553180_at	ADAMTS19	 	 	 	 	-2.511	3.31E-04
214913_at	ADAMTS3	1.143	4.33E-02	 	 	 	 
228911_at	ADAMTS7	 	 	1.426	4.86E-02	1.337	3.69E-02
1554697_at	ADAMTS9	 	 	1.45	2.72E-04	 	 
226814_at	ADAMTS9	 	 	1.187	9.31E-03	 	 
201786_s_at	ADAR	-1.152	3.57E-02	 	 	-1.122	1.16E-02
203865_s_at	ADARB1	 	 	-1.936	3.93E-02	-1.378	4.73E-02
209979_at	ADARB1	 	 	 	 	1.543	1.33E-02
1561127_at	ADARB2-AS1	 	 	-1.285	2.42E-02	 	 
219384_s_at	ADAT1	1.179	4.38E-02	 	 	 	 
227213_at	ADAT2	2.175	2.44E-02	1.786	4.27E-03	1.356	4.18E-02
